################################################################################
# Copyright (c) 2004-2007 by Tensilica Inc.  ALL RIGHTS RESERVED.              #
# These coded instructions, statements, and computer programs are the          #
# copyrighted works and confidential proprietary information of Tensilica Inc. #
# They may not be modified, copied, reproduced, distributed, or disclosed to   #
# third parties in any manner, medium, or form, in whole or in part, without   #
# the prior written consent of Tensilica Inc.                                  #
################################################################################
# Tech     OpCond    Mem    Words Bits  Mux     Pcr     Pcw     Pci      Pa      Pd       Pleak       Area
130g       Best      ram      128   23    4  35.162  33.370   0.626   0.834   0.109       4.390   47821.56
130g       Best      ram      128   24    4  36.285  34.436   0.646   0.861   0.108       4.530   49032.73
130g       Best      ram      128   25    4  37.409  35.501   0.666   0.888   0.107       4.670   50471.52
130g       Best      ram      128   26    4  38.532  36.566   0.686   0.914   0.105       4.810   51682.68
130g       Best      ram      128   27    4  39.655  37.632   0.706   0.941   0.105       4.950   52893.84
130g       Best      ram      128   28    4  40.779  38.697   0.726   0.967   0.104       5.091   54105.00
130g       Best      ram      128   32    4  45.272  42.959   0.805   1.074   0.101       5.651   59177.28
130g       Best      ram      128   64    4  81.220  77.050   1.445   1.926   0.090      10.138  104698.62
130g       Best      ram      128  128    4 154.827 146.179   2.741   3.654   0.086      19.111  217775.60
130g       Best      ram      256    4    8  14.663  13.691   0.257   0.299   0.257       1.959   23912.97
130g       Best      ram      256    8    8  20.603  19.121   0.359   0.419   0.179       2.753   32352.63
130g       Best      ram      256   12    4  25.153  24.168   0.453   0.529   0.151       3.885   43818.39
130g       Best      ram      256   16    4  29.641  28.589   0.536   0.625   0.134       4.629   50391.01
130g       Best      ram      256   17    4  30.763  29.695   0.557   0.650   0.131       4.815   52255.38
130g       Best      ram      256   18    4  31.885  30.800   0.577   0.674   0.128       5.001   53824.80
130g       Best      ram      256   19    4  33.007  31.905   0.598   0.698   0.126       5.187   55394.21
130g       Best      ram      256   20    4  34.129  33.010   0.619   0.722   0.124       5.373   56963.63
130g       Best      ram      256   21    4  35.251  34.116   0.640   0.746   0.122       5.559   58828.00
130g       Best      ram      256   22    4  36.374  35.221   0.660   0.770   0.120       5.745   60397.42
130g       Best      ram      256   23    4  37.496  36.326   0.681   0.795   0.118       5.931   61966.83
130g       Best      ram      256   24    4  38.618  37.431   0.702   0.819   0.117       6.117   63536.25
130g       Best      ram      256   25    4  39.740  38.537   0.723   0.843   0.116       6.303   65400.62
130g       Best      ram      256   26    4  40.862  39.642   0.743   0.867   0.114       6.489   66970.04
130g       Best      ram      256   27    4  41.984  40.747   0.764   0.891   0.113       6.675   68539.45
130g       Best      ram      256   28    4  43.106  41.853   0.785   0.916   0.112       6.861   70108.87
130g       Best      ram      256   32    4  47.594  46.274   0.868   1.012   0.108       7.605   77047.59
130g       Best      ram      256   64    4  83.501  81.642   1.531   1.786   0.096      13.557  135500.79
130g       Best      ram      256  128    4 156.844 153.307   2.875   3.354   0.090      25.461  274497.75
130g       Best      ram      512    4    8  16.965  15.978   0.300   0.311   0.300       2.814   32415.12
130g       Best      ram      512    8    8  22.897  21.573   0.404   0.419   0.202       3.975   43855.47
130g       Best      ram      512   12    8  28.829  27.167   0.509   0.528   0.170       5.135   55295.82
130g       Best      ram      512   16    4  34.343  34.041   0.638   0.662   0.160       7.072   73396.68
130g       Best      ram      512   17    4  35.454  35.217   0.660   0.685   0.155       7.349   76112.23
130g       Best      ram      512   18    4  36.566  36.393   0.682   0.708   0.152       7.627   78398.15
130g       Best      ram      512   19    4  37.678  37.569   0.704   0.731   0.148       7.905   80684.07
130g       Best      ram      512   20    4  38.789  38.745   0.726   0.753   0.145       8.182   82969.99
130g       Best      ram      512   21    4  39.901  39.921   0.749   0.776   0.143       8.460   85685.53
130g       Best      ram      512   22    4  41.013  41.097   0.771   0.799   0.140       8.737   87971.45
130g       Best      ram      512   23    4  42.124  42.273   0.793   0.822   0.138       9.015   90257.37
130g       Best      ram      512   24    4  43.236  43.449   0.815   0.845   0.136       9.292   92543.29
130g       Best      ram      512   25    4  44.348  44.625   0.837   0.868   0.134       9.570   95492.49
130g       Best      ram      512   26    4  45.459  45.801   0.859   0.891   0.132       9.847   97945.76
130g       Best      ram      512   27    4  46.571  46.977   0.881   0.913   0.130      10.125  100469.80
130g       Best      ram      512   28    4  47.683  48.153   0.903   0.936   0.129      10.403  102828.36
130g       Best      ram      512   32    4  52.129  52.858   0.991   1.028   0.124      11.513  113110.63
130g       Best      ram      512   64    4  87.703  90.491   1.697   1.760   0.106      20.395  197399.03
130g       Best      ram      512  128    4 161.044 166.345   3.119   3.234   0.097      38.160  394790.58
130g       Best      ram     1024    4   16  19.596  18.230   0.342   0.319   0.342       3.637   43855.47
130g       Best      ram     1024    8    8  27.689  26.665   0.500   0.467   0.250       6.417   66861.14
130g       Best      ram     1024   12    8  33.595  32.506   0.609   0.569   0.203       8.310   84302.86
130g       Best      ram     1024   16    8  39.502  38.347   0.719   0.671   0.180      10.204  101744.58
130g       Best      ram     1024   17    8  40.979  39.807   0.746   0.697   0.176      10.677  106300.69
130g       Best      ram     1024   18    8  42.455  41.267   0.774   0.722   0.172      11.150  110465.44
130g       Best      ram     1024   19    8  43.932  42.727   0.801   0.748   0.169      11.624  115021.55
130g       Best      ram     1024   20    8  45.409  44.187   0.829   0.773   0.166      12.097  119386.61
130g       Best      ram     1024   21    8  46.885  45.647   0.856   0.799   0.163      12.570  124166.41
130g       Best      ram     1024   22    8  48.362  47.108   0.883   0.824   0.161      13.043  128583.12
130g       Best      ram     1024   23    8  49.839  48.568   0.911   0.850   0.158      13.517  133382.94
130g       Best      ram     1024   24    8  51.315  50.028   0.938   0.875   0.156      13.990  137657.42
130g       Best      ram     1024   25    8  52.792  51.488   0.965   0.901   0.154      14.463  142636.58
130g       Best      ram     1024   26    8  54.269  52.948   0.993   0.927   0.153      14.937  146913.05
130g       Best      ram     1024   27    4  55.501  59.071   1.108   1.034   0.164      17.025  165615.50
130g       Best      ram     1024   28    4  56.646  60.422   1.133   1.057   0.162      17.485  169847.11
130g       Best      ram     1024   32    4  61.226  65.828   1.234   1.152   0.154      19.328  186367.08
130g       Best      ram     1024   64    4  97.863 109.073   2.045   1.909   0.128      34.071  322674.27
130g       Best      ram     1024  128    4 172.605 195.939   3.674   3.429   0.115      63.558  639392.03
130g       Best      ram     2048    4   16  24.352  23.216   0.435   0.369   0.435       6.080   66861.14
130g       Best      ram     2048    8   16  32.906  31.611   0.593   0.503   0.296       9.529  101744.58
130g       Best      ram     2048   12   16  41.461  40.006   0.750   0.636   0.250      12.978  136628.01
130g       Best      ram     2048   16    8  48.609  49.294   0.924   0.784   0.231      18.019  172984.41
130g       Best      ram     2048   17    8  50.152  50.957   0.955   0.811   0.225      18.859  181094.18
130g       Best      ram     2048   18    8  51.695  52.619   0.987   0.837   0.219      19.698  188399.72
130g       Best      ram     2048   19    8  53.238  54.281   1.018   0.864   0.214      20.538  196643.40
130g       Best      ram     2048   20    8  54.781  55.943   1.049   0.890   0.210      21.377  203852.72
