################################################################################
# Copyright (c) 2004-2007 by Tensilica Inc.  ALL RIGHTS RESERVED.              #
# These coded instructions, statements, and computer programs are the          #
# copyrighted works and confidential proprietary information of Tensilica Inc. #
# They may not be modified, copied, reproduced, distributed, or disclosed to   #
# third parties in any manner, medium, or form, in whole or in part, without   #
# the prior written consent of Tensilica Inc.                                  #
################################################################################
# Tech     OpCond    Mem    Words Bits  Mux     Pcr     Pcw     Pci      Pa      Pd       Pleak       Area
130g       Worst     ram     2048   26    8  37.861  40.047   0.751   0.637   0.116      83.847  250374.39
130g       Worst     ram     2048   27    8  38.719  41.033   0.769   0.653   0.114      85.467  258700.89
130g       Worst     ram     2048   28    8  39.578  42.019   0.788   0.668   0.113      87.087  266112.21
130g       Worst     ram     2048   32    8  43.013  45.965   0.862   0.731   0.108      93.566  297374.94
130g       Worst     ram     2048   64    4  70.820  92.313   1.731   1.469   0.108     181.049  589825.52
130g       Worst     ram     2048  128    4 114.882 157.788   2.959   2.510   0.092     282.778 1134593.37
130g       Worst     ram     4096    4   16  20.270  19.755   0.370   0.288   0.370      53.610  112872.49
130g       Worst     ram     4096    8   16  25.258  25.122   0.471   0.366   0.236      65.487  171761.40
130g       Worst     ram     4096   12   16  30.245  30.489   0.572   0.445   0.191      77.364  232401.70
130g       Worst     ram     4096   16   16  35.232  35.857   0.672   0.523   0.168      89.241  293875.78
130g       Worst     ram     4096   20   16  40.384  41.412   0.776   0.604   0.155     101.119  355575.38
130g       Worst     ram     4096   24   16  45.537  46.968   0.881   0.685   0.147     112.996  417395.19
130g       Worst     ram     4096   28   16  50.689  52.524   0.985   0.766   0.141     124.873  479827.08
130g       Worst     ram     4096   32   16  55.841  58.080   1.089   0.847   0.136     136.750  542975.16
130g       Worst     ram     4096   64    8  86.630 104.063   1.951   1.518   0.122     262.399 1042132.45
130g       Worst     ram     4096  128    4 142.109 232.625   4.362   3.392   0.136     516.779 2201811.51
130g       Worst     ram     8192    4   16  32.827  32.285   0.605   0.435   0.605     101.124  208508.27
130g       Worst     ram     8192    8   16  38.307  39.114   0.733   0.527   0.367     122.928  319099.98
130g       Worst     ram     8192   12   16  43.788  45.943   0.861   0.618   0.287     144.731  430616.38
130g       Worst     ram     8192   16   16  49.269  52.772   0.989   0.710   0.247     166.535  541939.42
130g       Worst     ram     8192   20   16  54.881  59.464   1.115   0.800   0.223     188.339  654708.20
130g       Worst     ram     8192   24   16  60.494  66.157   1.240   0.891   0.207     210.143  767778.72
130g       Worst     ram     8192   28   16  66.106  72.850   1.366   0.981   0.195     231.946  881297.92
130g       Worst     ram     8192   32   16  71.719  79.542   1.491   1.071   0.186     253.750  994868.46
130g       Worst     ram     8192   64    8 116.600 157.884   2.960   2.125   0.185     496.400 2036460.82
130g       Worst     ram    16384    4   16  55.178  57.247   1.073   0.716   1.073     196.150  413048.72
130g       Worst     ram    16384    8   16  62.245  66.131   1.240   0.827   0.620     237.808  625927.27
130g       Worst     ram    16384   12   16  69.312  75.015   1.407   0.938   0.469     279.465  839306.68
130g       Worst     ram    16384   16   16  76.379  83.899   1.573   1.049   0.393     321.122 1053351.96
130g       Worst     ram    16384   20   16  83.379  93.601   1.755   1.170   0.351     362.779 1279596.78
130g       Worst     ram    16384   24   16  90.378 103.304   1.937   1.291   0.323     404.437 1526221.14
130g       Worst     ram    16384   28   16  97.378 113.006   2.119   1.413   0.303     446.094 1744167.20
130g       Worst     ram    16384   32   16 104.378 122.709   2.301   1.534   0.288     487.751 1991919.75
130lv      Best      ram       16    4    4  12.273  10.967   0.214   0.499   0.207      31.536   17544.76
130lv      Best      ram       16    8    4  16.710  15.051   0.291   0.680   0.142      36.489   21304.24
130lv      Best      ram       16   12    4  21.146  19.136   0.369   0.861   0.120      41.441   25063.71
130lv      Best      ram       16   16    4  25.583  23.221   0.446   1.041   0.109      46.393   28823.19
130lv      Best      ram       16   17    4  26.692  24.242   0.466   1.086   0.107      47.632   29889.60
130lv      Best      ram       16   18    4  27.801  25.263   0.485   1.131   0.106      48.870   30787.29
130lv      Best      ram       16   19    4  28.910  26.284   0.504   1.177   0.104      50.108   31684.98
130lv      Best      ram       16   20    4  30.019  27.306   0.524   1.222   0.103      51.346   32582.67
130lv      Best      ram       16   21    4  31.128  28.327   0.543   1.267   0.102      52.584   33649.07
130lv      Best      ram       16   22    4  32.238  29.348   0.562   1.312   0.100      53.822   34546.76
130lv      Best      ram       16   23    4  33.347  30.369   0.582   1.357   0.099      55.060   35517.36
130lv      Best      ram       16   24    4  34.456  31.390   0.601   1.402   0.098      56.298   36460.34
130lv      Best      ram       16   25    4  35.565  32.411   0.620   1.447   0.098      57.536   37673.27
130lv      Best      ram       16   26    4  36.674  33.433   0.640   1.493   0.097      58.774   38681.76
130lv      Best      ram       16   27    4  37.783  34.454   0.659   1.538   0.096      60.013   39732.18
130lv      Best      ram       16   28    4  38.892  35.475   0.678   1.583   0.095      61.251   40753.56
130lv      Best      ram       16   32    4  43.329  39.560   0.756   1.763   0.093      66.203   45042.93
130lv      Best      ram       16   64    4  78.822  72.237   1.375   3.208   0.085     105.822   81923.02
130lv      Best      ram       16  128    4 149.807 137.593   2.613   6.097   0.081     185.061  183004.12
130lv      Best      ram       32    4    4  12.516  11.029   0.218   0.407   0.209      34.385   18419.98
130lv      Best      ram       32    8    4  16.872  15.093   0.294   0.549   0.142      39.520   22367.00
130lv      Best      ram       32   12    4  21.227  19.157   0.370   0.691   0.120      44.656   26314.02
130lv      Best      ram       32   16    4  25.583  23.221   0.446   0.833   0.109      49.791   30261.04
130lv      Best      ram       32   17    4  26.672  24.237   0.465   0.868   0.107      51.075   31380.65
130lv      Best      ram       32   18    4  27.760  25.253   0.484   0.904   0.106      52.359   32323.12
130lv      Best      ram       32   19    4  28.849  26.269   0.503   0.939   0.104      53.643   33265.59
130lv      Best      ram       32   20    4  29.938  27.285   0.522   0.975   0.103      54.926   34208.06
130lv      Best      ram       32   21    4  31.027  28.301   0.541   1.010   0.101      56.210   35327.67
130lv      Best      ram       32   22    4  32.116  29.317   0.560   1.046   0.100      57.494   36270.14
130lv      Best      ram       32   23    4  33.205  30.333   0.579   1.081   0.099      58.778   37307.88
130lv      Best      ram       32   24    4  34.294  31.349   0.598   1.117   0.098      60.062   38394.22
130lv      Best      ram       32   25    4  35.383  32.365   0.617   1.152   0.097      61.346   39633.49
130lv      Best      ram       32   26    4  36.472  33.381   0.636   1.187   0.097      62.630   40730.02
130lv      Best      ram       32   27    4  37.560  34.397   0.655   1.223   0.096      63.913   41727.49
130lv      Best      ram       32   28    4  38.649  35.413   0.674   1.258   0.095      65.197   42899.33
130lv      Best      ram       32   32    4  43.005  39.477   0.750   1.400   0.093      70.333   47463.31
130lv      Best      ram       32   64    4  77.849  71.989   1.358   2.535   0.084     111.416   85764.56
130lv      Best      ram       32  128    4 148.339 137.037   2.587   4.830   0.080     193.582  191705.74
130lv      Best      ram       64    4    4  13.002  11.153   0.227   0.353   0.212      40.082   20170.44
130lv      Best      ram       64    8    4  17.196  15.175   0.300   0.467   0.143      45.584   24492.54
130lv      Best      ram       64   12    4  21.389  19.198   0.373   0.580   0.121      51.085   28814.65
130lv      Best      ram       64   16    4  25.583  23.221   0.446   0.694   0.109      56.586   33136.75
130lv      Best      ram       64   17    4  26.631  24.227   0.464   0.723   0.107      57.962   34362.75
130lv      Best      ram       64   18    4  27.679  25.232   0.483   0.751   0.105      59.337   35394.79
130lv      Best      ram       64   19    4  28.728  26.238   0.501   0.779   0.104      60.713   36426.82
130lv      Best      ram       64   20    4  29.776  27.244   0.519   0.808   0.102      62.088   37458.86
130lv      Best      ram       64   21    4  30.825  28.249   0.538   0.836   0.101      63.463   38684.86
130lv      Best      ram       64   22    4  31.873  29.255   0.556   0.865   0.100      64.839   39819.61
130lv      Best      ram       64   23    4  32.921  30.261   0.574   0.893   0.099      66.214   40995.17
130lv      Best      ram       64   24    4  33.970  31.266   0.592   0.922   0.098      67.589   42154.33
130lv      Best      ram       64   25    4  35.018  32.272   0.611   0.950   0.097      68.965   43531.08
130lv      Best      ram       64   26    4  36.066  33.278   0.629   0.979   0.096      70.340   44623.46
130lv      Best      ram       64   27    4  37.115  34.283   0.647   1.007   0.095      71.715   45890.72
130lv      Best      ram       64   28    4  38.163  35.289   0.666   1.035   0.095      73.091   46987.83
130lv      Best      ram       64   32    4  42.357  39.312   0.739   1.149   0.092      78.592   51957.72
130lv      Best      ram       64   64    4  75.773  71.362   1.338   2.081   0.084     122.603   93742.30
130lv      Best      ram       64  128    4 145.303 135.825   2.547   3.962   0.080     210.626  207430.05
130lv      Best      ram      128    4    4  13.902  12.077   0.242   0.323   0.229      51.477   23671.34
130lv      Best      ram      128    8    4  18.087  16.145   0.315   0.421   0.152      57.710   28743.62
130lv      Best      ram      128   12    4  22.273  20.213   0.388   0.518   0.127      63.944   33815.90
130lv      Best      ram      128   16    4  26.459  24.281   0.461   0.615   0.114      70.177   38888.17
130lv      Best      ram      128   17    4  27.505  25.298   0.480   0.640   0.112      71.736   40326.96
130lv      Best      ram      128   18    4  28.552  26.315   0.498   0.664   0.110      73.294   41538.13
130lv      Best      ram      128   19    4  29.598  27.332   0.516   0.688   0.108      74.852   42749.29
130lv      Best      ram      128   20    4  30.645  28.349   0.534   0.713   0.106      76.411   44099.08
130lv      Best      ram      128   21    4  31.691  29.365   0.553   0.737   0.105      77.969   45681.10
130lv      Best      ram      128   22    4  32.737  30.382   0.571   0.761   0.104      79.527   47035.98
130lv      Best      ram      128   23    4  33.784  31.399   0.589   0.786   0.102      81.086   48399.92
130lv      Best      ram      128   24    4  34.828  32.414   0.608   0.810   0.101      82.644   49764.09
130lv      Best      ram      128   25    4  35.868  33.424   0.627   0.836   0.100      84.202   51372.00
130lv      Best      ram      128   26    4  36.908  34.435   0.646   0.861   0.099      85.761   52737.06
130lv      Best      ram      128   27    4  37.948  35.445   0.665   0.886   0.098      87.319   54120.97
130lv      Best      ram      128   28    4  38.988  36.456   0.684   0.911   0.098      88.877   55495.35
130lv      Best      ram      128   32    4  43.147  40.498   0.759   1.012   0.095      95.111   61199.16
130lv      Best      ram      128   64    4  76.425  72.834   1.366   1.821   0.085     144.978  109854.08
130lv      Best      ram      128  128    4 145.700 137.927   2.586   3.448   0.081     244.712  239123.76
130lv      Best      ram      256    4    8  14.966  13.864   0.261   0.305   0.260      53.703   23912.97
130lv      Best      ram      256    8    4  19.871  18.084   0.347   0.404   0.170      81.964   37245.77
130lv      Best      ram      256   12    4  24.041  22.242   0.419   0.489   0.139      89.661   43818.39
130lv      Best      ram      256   16    4  28.188  26.377   0.495   0.577   0.124      97.359   50576.99
130lv      Best      ram      256   17    4  29.220  27.406   0.514   0.600   0.121      99.283   52582.86
130lv      Best      ram      256   18    4  30.252  28.435   0.533   0.622   0.118     101.208   54418.02
130lv      Best      ram      256   19    4  31.284  29.464   0.552   0.645   0.116     103.132   56068.34
130lv      Best      ram      256   20    4  32.316  30.493   0.572   0.667   0.114     105.056   57909.77
130lv      Best      ram      256   21    4  33.349  31.523   0.591   0.690   0.113     106.981   59856.59
130lv      Best      ram      256   22    4  34.381  32.552   0.610   0.712   0.111     108.905   61714.21
130lv      Best      ram      256   23    4  35.413  33.581   0.630   0.735   0.110     110.829   63369.26
130lv      Best      ram      256   24    4  36.445  34.610   0.649   0.757   0.108     112.754   65231.32
130lv      Best      ram      256   25    4  37.477  35.639   0.668   0.780   0.107     114.678   67195.42
130lv      Best      ram      256   26    4  38.509  36.668   0.688   0.802   0.106     116.602   69072.97
130lv      Best      ram      256   27    4  39.541  37.698   0.707   0.825   0.105     118.527   70733.44
130lv      Best      ram      256   28    4  40.574  38.727   0.726   0.847   0.104     120.451   72626.91
130lv      Best      ram      256   32    4  44.702  42.844   0.803   0.937   0.100     128.148   80075.50
130lv      Best      ram      256   64    4  77.731  75.777   1.421   1.658   0.089     189.727  142259.22
130lv      Best      ram      256  128    4 146.495 142.129   2.665   3.109   0.083     312.886  302926.36
130lv      Best      ram      512    4    8  16.669  15.600   0.292   0.303   0.292      77.956   32415.12
130lv      Best      ram      512    8    8  22.208  20.858   0.391   0.406   0.196      89.344   43855.47
130lv      Best      ram      512   12    8  27.747  26.116   0.490   0.508   0.163     100.731   55778.28
130lv      Best      ram      512   16    4  31.961  30.863   0.579   0.600   0.145     151.722   75486.18
130lv      Best      ram      512   17    4  32.988  31.947   0.599   0.621   0.141     154.378   78573.95
130lv      Best      ram      512   18    4  34.015  33.032   0.619   0.642   0.138     157.035   81239.33
130lv      Best      ram      512   19    4  35.043  34.116   0.640   0.663   0.135     159.691   83659.72
130lv      Best      ram      512   20    4  36.070  35.201   0.660   0.684   0.132     162.347   86331.85
130lv      Best      ram      512   21    4  37.097  36.285   0.680   0.706   0.130     165.004   89281.95
130lv      Best      ram      512   22    4  38.124  37.370   0.701   0.727   0.127     167.660   91888.81
130lv      Best      ram      512   23    4  39.152  38.454   0.721   0.748   0.125     170.316   94414.76
130lv      Best      ram      512   24    4  40.179  39.539   0.741   0.769   0.124     172.973   97111.34
130lv      Best      ram      512   25    4  41.206  40.623   0.762   0.790   0.122     175.629  100157.05
130lv      Best      ram      512   26    4  42.233  41.708   0.782   0.811   0.120     178.285  102700.79
130lv      Best      ram      512   27    4  43.261  42.793   0.802   0.832   0.119     180.942  105415.28
130lv      Best      ram      512   28    4  44.288  43.877   0.823   0.853   0.118     183.598  107864.99
130lv      Best      ram      512   32    4  48.397  48.215   0.904   0.938   0.113     194.223  118974.82
130lv      Best      ram      512   64    4  81.269  82.920   1.555   1.612   0.097     279.226  217425.90
130lv      Best      ram      512  128    4 149.805 152.673   2.863   2.969   0.089     449.232  442612.28
130lv      Best      ram     1024    4   16  19.123  17.931   0.336   0.314   0.336      86.068   43855.47
130lv      Best      ram     1024    8    8  25.944  24.931   0.467   0.436   0.234     143.707   68012.46
130lv      Best      ram     1024   12    8  31.482  30.400   0.570   0.532   0.190     160.950   87177.93
130lv      Best      ram     1024   16    8  37.020  35.870   0.673   0.628   0.168     178.193  106435.74
130lv      Best      ram     1024   17    8  38.404  37.237   0.698   0.652   0.164     182.503  111530.77
130lv      Best      ram     1024   18    8  39.789  38.605   0.724   0.676   0.161     186.814  116234.34
130lv      Best      ram     1024   19    8  41.173  39.972   0.749   0.700   0.158     191.125  121353.05
130lv      Best      ram     1024   20    8  42.558  41.340   0.775   0.723   0.155     195.436  126086.52
130lv      Best      ram     1024   21    8  43.942  42.707   0.801   0.747   0.153     199.747  131250.93
130lv      Best      ram     1024   22    4  45.020  46.905   0.879   0.821   0.160     285.170  155258.33
130lv      Best      ram     1024   23    4  46.078  48.146   0.903   0.843   0.157     289.291  159655.44
130lv      Best      ram     1024   24    4  47.136  49.386   0.926   0.864   0.154     293.411  163766.03
130lv      Best      ram     1024   25    4  48.194  50.627   0.949   0.886   0.152     297.531  168887.18
130lv      Best      ram     1024   26    4  49.251  51.867   0.973   0.908   0.150     301.652  173288.97
130lv      Best      ram     1024   27    4  50.309  53.108   0.996   0.929   0.148     305.772  177711.70
130lv      Best      ram     1024   28    4  51.367  54.348   1.019   0.951   0.146     309.892  182141.91
130lv      Best      ram     1024   32    4  55.598  59.310   1.112   1.038   0.139     326.373  200229.58
130lv      Best      ram     1024   64    4  89.444  99.005   1.856   1.733   0.116     458.224  377330.45
130lv      Best      ram     1024  128    4 159.339 178.036   3.338   3.116   0.104     721.925  740398.76
130lv      Best      ram     2048    4   16  22.907  21.843   0.410   0.347   0.410     140.431   67444.78
130lv      Best      ram     2048    8   16  31.071  29.823   0.559   0.474   0.280     171.642  105261.03
130lv      Best      ram     2048   12    8  38.848  38.769   0.727   0.617   0.242     281.388  152800.38
130lv      Best      ram     2048   16    8  44.769  45.056   0.845   0.717   0.211     310.343  186261.56
130lv      Best      ram     2048   17    8  46.250  46.628   0.874   0.742   0.206     317.582  194887.77
130lv      Best      ram     2048   18    8  47.730  48.199   0.904   0.767   0.201     324.820  203253.16
130lv      Best      ram     2048   19    8  49.210  49.771   0.933   0.792   0.196     332.059  211927.62
130lv      Best      ram     2048   20    8  50.691  51.343   0.963   0.817   0.193     339.298  220081.69
130lv      Best      ram     2048   21    8  52.171  52.914   0.992   0.842   0.189     346.536  228791.14
130lv      Best      ram     2048   22    8  53.652  54.486   1.022   0.867   0.186     353.775  237108.18
130lv      Best      ram     2048   23    8  55.132  56.058   1.051   0.892   0.183     361.014  246018.07
130lv      Best      ram     2048   24    8  56.613  57.629   1.081   0.917   0.180     368.253  261115.00
130lv      Best      ram     2048   25    8  58.093  59.201   1.110   0.942   0.178     375.491  270105.87
130lv      Best      ram     2048   26    8  59.573  60.773   1.139   0.967   0.175     382.730  278594.54
130lv      Best      ram     2048   27    8  61.054  62.344   1.169   0.992   0.173     389.969  296602.92
130lv      Best      ram     2048   28    8  62.534  63.916   1.198   1.017   0.171     397.208  305231.67
130lv      Best      ram     2048   32    8  68.456  70.203   1.316   1.117   0.165     426.163  340962.48
130lv      Best      ram     2048   64    4 107.696 132.057   2.476   2.101   0.155     816.219  723046.46
130lv      Best      ram     2048  128    4 180.038 230.372   4.319   3.665   0.135    1267.311 1388164.30
130lv      Best      ram     4096    4   16  29.931  28.904   0.542   0.422   0.542     249.158  118794.98
130lv      Best      ram     4096    8   16  38.937  38.160   0.715   0.556   0.358     303.792  184695.56
130lv      Best      ram     4096   12   16  47.943  47.416   0.889   0.691   0.296     358.427  251581.46
130lv      Best      ram     4096   16   16  56.948  56.672   1.063   0.826   0.266     413.062  336949.34
130lv      Best      ram     4096   20   16  66.196  66.130   1.240   0.964   0.248     467.697  416981.44
130lv      Best      ram     4096   24    8  74.352  80.870   1.516   1.179   0.253     679.400  530887.47
130lv      Best      ram     4096   28    8  80.627  88.653   1.662   1.293   0.237     731.779  604935.21
130lv      Best      ram     4096   32    8  86.902  96.436   1.808   1.406   0.226     784.158  679532.25
130lv      Best      ram     4096   64    8 138.408 158.686   2.975   2.314   0.186    1203.188 1294007.82
130lv      Best      ram     4096  128    8 245.474 286.172   5.366   4.173   0.168    2041.248 2700406.76
130lv      Best      ram     8192    4   16  46.499  45.312   0.850   0.610   0.850     466.610  232064.35
130lv      Best      ram     8192    8   16  56.546  56.724   1.064   0.764   0.532     568.093  378603.09
130lv      Best      ram     8192   12   16  66.593  68.135   1.278   0.917   0.426     669.575  523266.50
130lv      Best      ram     8192   16   16  76.640  79.546   1.491   1.071   0.373     771.057  664892.13
130lv      Best      ram     8192   20   16  86.628  90.905   1.704   1.224   0.341     872.540  815133.07
130lv      Best      ram     8192   24   16  96.615 102.264   1.917   1.377   0.320     974.022  957638.96
130lv      Best      ram     8192   28   16 106.602 113.623   2.130   1.530   0.304    1075.504 1105952.88
130lv      Best      ram     8192   32   16 116.590 124.982   2.343   1.682   0.293    1176.986 1262092.00
130lv      Best      ram     8192   64   16 199.874 217.460   4.077   2.927   0.255    1988.845 2615046.05
130lv      Typical   ram       16    4    4   9.460   8.395   0.165   0.385   0.159      20.868   17544.76
130lv      Typical   ram       16    8    4  12.840  11.512   0.224   0.523   0.109      24.058   21304.24
130lv      Typical   ram       16   12    4  16.220  14.628   0.283   0.660   0.092      27.247   25063.71
130lv      Typical   ram       16   16    4  19.601  17.745   0.342   0.798   0.084      30.437   28823.19
130lv      Typical   ram       16   17    4  20.446  18.524   0.357   0.832   0.082      31.234   29889.60
130lv      Typical   ram       16   18    4  21.291  19.303   0.371   0.866   0.081      32.032   30787.29
130lv      Typical   ram       16   19    4  22.136  20.082   0.386   0.901   0.080      32.829   31684.98
130lv      Typical   ram       16   20    4  22.981  20.861   0.401   0.935   0.079      33.626   32582.67
130lv      Typical   ram       16   21    4  23.826  21.640   0.416   0.970   0.078      34.424   33649.07
130lv      Typical   ram       16   22    4  24.671  22.419   0.430   1.004   0.077      35.221   34546.76
130lv      Typical   ram       16   23    4  25.516  23.198   0.445   1.038   0.076      36.018   35517.36
130lv      Typical   ram       16   24    4  26.361  23.977   0.460   1.073   0.075      36.816   36460.34
130lv      Typical   ram       16   25    4  27.206  24.757   0.475   1.107   0.075      37.613   37673.27
130lv      Typical   ram       16   26    4  28.051  25.536   0.489   1.142   0.074      38.411   38681.76
130lv      Typical   ram       16   27    4  28.896  26.315   0.504   1.176   0.073      39.208   39732.18
130lv      Typical   ram       16   28    4  29.741  27.094   0.519   1.210   0.073      40.005   40753.56
130lv      Typical   ram       16   32    4  33.122  30.210   0.578   1.348   0.071      43.195   45042.93
130lv      Typical   ram       16   64    4  60.163  55.142   1.049   2.449   0.065      68.711   81923.02
130lv      Typical   ram       16  128    4 114.247 105.004   1.993   4.650   0.062     119.742  183004.12
130lv      Typical   ram       32    4    4   9.593   8.406   0.167   0.312   0.159      22.676   18419.98
130lv      Typical   ram       32    8    4  12.929  11.519   0.226   0.421   0.109      25.935   22367.00
130lv      Typical   ram       32   12    4  16.265  14.632   0.284   0.530   0.092      29.194   26314.02
130lv      Typical   ram       32   16    4  19.601  17.745   0.342   0.638   0.084      32.453   30261.04
130lv      Typical   ram       32   17    4  20.435  18.523   0.356   0.665   0.082      33.267   31380.65
130lv      Typical   ram       32   18    4  21.269  19.301   0.371   0.692   0.081      34.082   32323.12
130lv      Typical   ram       32   19    4  22.103  20.079   0.386   0.720   0.080      34.897   33265.59
130lv      Typical   ram       32   20    4  22.937  20.858   0.400   0.747   0.078      35.712   34208.06
130lv      Typical   ram       32   21    4  23.771  21.636   0.415   0.774   0.078      36.526   35327.67
130lv      Typical   ram       32   22    4  24.605  22.414   0.429   0.801   0.077      37.341   36270.14
130lv      Typical   ram       32   23    4  25.439  23.192   0.444   0.828   0.076      38.156   37307.88
130lv      Typical   ram       32   24    4  26.273  23.971   0.458   0.855   0.075      38.971   38394.22
130lv      Typical   ram       32   25    4  27.107  24.749   0.473   0.883   0.074      39.785   39633.49
130lv      Typical   ram       32   26    4  27.940  25.527   0.487   0.910   0.074      40.600   40730.02
130lv      Typical   ram       32   27    4  28.774  26.306   0.502   0.937   0.073      41.415   41727.49
130lv      Typical   ram       32   28    4  29.608  27.084   0.516   0.964   0.073      42.229   42899.33
130lv      Typical   ram       32   32    4  32.944  30.197   0.575   1.073   0.071      45.488   47463.31
130lv      Typical   ram       32   64    4  59.632  55.101   1.040   1.941   0.065      71.560   85764.56
130lv      Typical   ram       32  128    4 113.338 104.829   1.977   3.690   0.061     123.703  191705.74
130lv      Typical   ram       64    4    4   9.859   8.426   0.172   0.267   0.160      26.291   20170.44
130lv      Typical   ram       64    8    4  13.106  11.532   0.229   0.356   0.109      29.689   24492.54
130lv      Typical   ram       64   12    4  16.353  14.638   0.285   0.444   0.092      33.086   28814.65
130lv      Typical   ram       64   16    4  19.601  17.745   0.342   0.532   0.084      36.484   33136.75
130lv      Typical   ram       64   17    4  20.413  18.521   0.356   0.554   0.082      37.334   34362.75
130lv      Typical   ram       64   18    4  21.224  19.298   0.370   0.576   0.081      38.183   35394.79
130lv      Typical   ram       64   19    4  22.036  20.074   0.384   0.598   0.079      39.033   36426.82
130lv      Typical   ram       64   20    4  22.848  20.851   0.399   0.620   0.078      39.882   37458.86
130lv      Typical   ram       64   21    4  23.660  21.627   0.413   0.642   0.077      40.732   38684.86
130lv      Typical   ram       64   22    4  24.472  22.404   0.427   0.664   0.077      41.581   39819.61
130lv      Typical   ram       64   23    4  25.284  23.181   0.441   0.686   0.076      42.430   40995.17
130lv      Typical   ram       64   24    4  26.095  23.957   0.455   0.708   0.075      43.280   42154.33
130lv      Typical   ram       64   25    4  26.907  24.734   0.469   0.730   0.074      44.129   43531.08
130lv      Typical   ram       64   26    4  27.719  25.510   0.483   0.752   0.074      44.979   44623.46
130lv      Typical   ram       64   27    4  28.531  26.287   0.498   0.774   0.073      45.828   45890.72
130lv      Typical   ram       64   28    4  29.343  27.063   0.512   0.796   0.073      46.678   46987.83
130lv      Typical   ram       64   32    4  32.590  30.170   0.568   0.884   0.071      50.076   51957.72
130lv      Typical   ram       64   64    4  58.489  54.940   1.030   1.602   0.064      77.258   93742.30
130lv      Typical   ram       64  128    4 111.412 104.368   1.957   3.044   0.061     131.624  207430.05
130lv      Typical   ram      128    4    4  10.564   9.160   0.184   0.246   0.174      33.520   23671.34
130lv      Typical   ram      128    8    4  13.807  12.307   0.241   0.321   0.116      37.196   28743.62
130lv      Typical   ram      128   12    4  17.050  15.453   0.297   0.397   0.097      40.872   33815.90
130lv      Typical   ram      128   16    4  20.293  18.599   0.354   0.472   0.087      44.547   38888.17
130lv      Typical   ram      128   17    4  21.104  19.386   0.368   0.491   0.086      45.466   40326.96
130lv      Typical   ram      128   18    4  21.915  20.172   0.382   0.510   0.084      46.385   41538.13
130lv      Typical   ram      128   19    4  22.725  20.959   0.396   0.528   0.083      47.304   42749.29
130lv      Typical   ram      128   20    4  23.536  21.745   0.411   0.547   0.082      48.223   44099.08
130lv      Typical   ram      128   21    4  24.347  22.532   0.425   0.566   0.081      49.142   45681.10
130lv      Typical   ram      128   22    4  25.158  23.319   0.439   0.585   0.080      50.061   47035.98
130lv      Typical   ram      128   23    4  25.968  24.105   0.453   0.604   0.079      50.980   48399.92
130lv      Typical   ram      128   24    4  26.779  24.892   0.467   0.623   0.078      51.899   49764.09
130lv      Typical   ram      128   25    4  27.588  25.676   0.481   0.642   0.077      52.818   51372.00
130lv      Typical   ram      128   26    4  28.394  26.458   0.496   0.661   0.076      53.737   52737.06
130lv      Typical   ram      128   27    4  29.200  27.240   0.511   0.681   0.076      54.655   54120.97
130lv      Typical   ram      128   28    4  30.006  28.022   0.525   0.701   0.075      55.574   55495.35
130lv      Typical   ram      128   32    4  33.230  31.149   0.584   0.779   0.073      59.250   61199.16
130lv      Typical   ram      128   64    4  59.020  56.165   1.053   1.404   0.066      88.655  109854.08
130lv      Typical   ram      128  128    4 111.730 106.141   1.990   2.654   0.062     147.466  239123.76
130lv      Typical   ram      256    4    8  11.482  10.653   0.200   0.234   0.200      34.465   23912.97
130lv      Typical   ram      256    8    4  15.208  13.855   0.265   0.309   0.130      52.211   37245.77
130lv      Typical   ram      256   12    4  18.443  17.082   0.322   0.375   0.107      56.442   43818.39
130lv      Typical   ram      256   16    4  21.656  20.287   0.380   0.444   0.095      60.674   50576.99
130lv      Typical   ram      256   17    4  22.457  21.085   0.395   0.461   0.093      61.732   52582.86
130lv      Typical   ram      256   18    4  23.257  21.884   0.410   0.479   0.091      62.789   54418.02
130lv      Typical   ram      256   19    4  24.058  22.682   0.425   0.496   0.090      63.847   56068.34
130lv      Typical   ram      256   20    4  24.859  23.481   0.440   0.514   0.088      64.905   57909.77
130lv      Typical   ram      256   21    4  25.659  24.279   0.455   0.531   0.087      65.963   59856.59
130lv      Typical   ram      256   22    4  26.460  25.078   0.470   0.549   0.085      67.021   61714.21
130lv      Typical   ram      256   23    4  27.260  25.876   0.485   0.566   0.084      68.078   63369.26
130lv      Typical   ram      256   24    4  28.061  26.675   0.500   0.584   0.083      69.136   65231.32
130lv      Typical   ram      256   25    4  28.861  27.473   0.515   0.601   0.082      70.194   67195.42
130lv      Typical   ram      256   26    4  29.662  28.272   0.530   0.618   0.082      71.252   69072.97
130lv      Typical   ram      256   27    4  30.463  29.070   0.545   0.636   0.081      72.310   70733.44
130lv      Typical   ram      256   28    4  31.263  29.869   0.560   0.653   0.080      73.368   72626.91
130lv      Typical   ram      256   32    4  34.466  33.063   0.620   0.723   0.077      77.599   80075.50
130lv      Typical   ram      256   64    4  60.084  58.614   1.099   1.282   0.069     111.449  142259.22
130lv      Typical   ram      256  128    4 112.365 109.685   2.057   2.399   0.064     179.150  302926.36
130lv      Typical   ram      512    4    8  12.903  12.059   0.226   0.234   0.226      49.480   32415.12
130lv      Typical   ram      512    8    8  17.138  16.080   0.302   0.313   0.151      55.211   43855.47
